OrderID,Name,City,Category,Product,Quantity,Unit Pice,Discount,Total Sales,Payment Method,Returned,Dates,Day,Month
2,Javaid Imran,Faisalabad,Furniture,Bed,4,21834,10,78602.4,Cash,No,2026-01-18,6,1
2,Jashaid Malik,Multan,Grocery,Rice,4,27982,0,111928.0,Online,No,2026-11-27,16,11
2,Zulaiha Shahab,Karachi,Sports,Wickets,2,33879,20,54206.4,Cash,Yes,2026-11-05,11,11
2,Eman Malik,Multan,Electronics,Mobile,1,13070,0,13070.0,Cash,Yes,2026-09-04,1,9
2,Javaid Moiz,Islamabad,Clothing,Shoes,5,39289,5,186622.75,Card,No,2026-06-04,14,6
2,Jashaid Moiz,Rawalpindi,Clothing,T-shirts,1,34523,10,31070.7,Card,No,2026-04-26,8,4
2,Eman Qamar,Faisalabad,Electronics,SmartWatch,4,47732,0,190928.0,Card,No,2026-10-06,23,10
2,Sara Junaid,Multan,Sports,Basket Ball,4,16429,5,62430.2,Cash,Yes,2026-08-22,27,8
2,Usman Tariq,Peshawar,Sports,Gloves,3,8582,10,23171.4,Online,No,2026-08-23,28,8
2,Eman Malik,Karachi,Furniture,Desk,1,45255,5,42992.25,Cash,Yes,2026-02-01,5,2
2,Javaid Ahmed,Karachi,Sports,Tennis Ball,1,32196,15,27366.6,Card,Yes,2026-07-10,11,7
2,Javaid Qasim,Lahore,Clothing,Jacket,2,48449,10,87208.2,Card,Yes,2026-11-09,29,11
2,John Azhar,Islamabad,Grocery,Eggs,1,27648,0,27648.0,Cash,No,2026-05-08,16,5
2,Eman Kamran,Lahore,Clothing,T-shirts,2,12417,10,22350.6,Online,Yes,2026-02-19,14,2
2,Waleed Khan,Multan,Grocery,Milk,4,37656,20,120499.2,Cash,Yes,2026-10-25,27,10
2,Taha Hashir,Multan,Grocery,Milk,1,3789,20,3031.2,Card,Yes,2026-12-27,6,12
2,Iqra Junaid,Peshawar,Clothing,Shoes,2,9801,15,16661.7,Online,Yes,2026-09-26,25,9
2,Tanveer Khan,Multan,Clothing,Pant,1,2187,15,1858.95,Card,Yes,2026-07-06,24,7
2,Iqra Malik,Islamabad,Electronics,Mobile,2,31288,0,62576.0,Cash,Yes,2026-09-07,4,9
2,Ali Azhar,Karachi,Sports,Gloves,3,4138,10,11172.6,Card,No,2026-07-01,28,7
2,Javaid Qamar,Peshawar,Clothing,Pant,3,2520,20,6048.0,Online,No,2026-10-24,6,10
2,John Ahmed,Peshawar,Furniture,Desk,2,12565,15,21360.5,Cash,No,2026-02-28,28,2
2,Jashaid Imran,Islamabad,Furniture,Table,1,38241,0,38241.0,Cash,Yes,2026-01-17,20,1
2,Ahmed Tariq,Lahore,Clothing,Pant,2,10966,10,19738.8,Cash,Yes,2026-05-28,8,5
2,Ali Kamran,Multan,Grocery,Rice,3,868,15,2213.4,Card,Yes,2026-05-07,12,5
2,Ahmed Ahmed,Multan,Electronics,Laptop,3,24635,10,66514.5,Cash,No,2026-07-22,8,7
2,Taha Kamran,Islamabad,Electronics,Laptop,4,41781,10,150411.6,Card,Yes,2026-08-13,3,8
2,Ahmed Moiz,Islamabad,Electronics,SmartWatch,1,29889,20,23911.2,Card,No,2026-02-15,18,2
2,Ahmed Ahmed,Peshawar,Sports,Gloves,3,22320,0,66960.0,Online,Yes,2026-03-11,23,3
2,John Malik,Lahore,Grocery,Bread,4,26920,15,91528.0,Card,No,2026-01-17,12,1
2,John Moiz,Rawalpindi,Electronics,SmartWatch,1,22982,5,21832.9,Cash,Yes,2026-09-19,2,9
